id,name
0,Ḩeşār-e Sefīd
1,‘Ayn Ḩalāqīm
2,Taglag
3,Qabāghlū
4,‘Arīqah
5,Kalāteh-ye Dowlat
6,Behjatābād
7,Ţālesh Maḩalleh
8,Shahrīār Kandeh
9,Bālā Aḩmad Kolā
10,Aş Şūrah aş Şaghīrah
11,Āqdūz
12,Āzādshahr
13,Gollar
14,Dīgāleh
15,Qarālar-e Mīrzā Ḩoseynqolī
16,Protaras
17,Kahrīz
18,Nūrābād
19,Rokan Sarā
20,Zīrjān
21,Dahasuways
22,Ash Shihr
23,Al Ghaylah
24,Judaydah
25,Dawran
26,Najd al Jumai
27,Zalmat al Alya
28,Suq ar Rabu
29,Ash Shuqayrah
30,Mashraah
31,Ar Rawnah
32,Ar Ramadi
33,Al Ahad
34,Ad Dil
35,Al Jabin
36,Badrābād-e `Olyā
37,Īstgāh-e Rāh Āhan-e Garmsār
38,Qarchak
39,Suq Sirwah
40,Majzar
41,Bidbadah
42,Matwah
43,Suwayr
44,Wadarah
45,Suq Shamar
46,Mustaba
47,An Nazir
48,Dayr al Ḩisī
49,Tabrīz Jānī
50,Andīmeshk
51,Ravīndūzaq
52,Māmā’ī
53,Reẕāābād
54,Khorramdarreh
55,Kūchaklī
56,Koshtārgāh
57,Jozf-e Soflá
58,Republic of Rwanda
59,Yeed
60,Xuddur
61,Xarardheere
62,Gobolka Woqooyi Galbeed
63,Wanlaweyn
64,Waajid
65,Gobolka Togdheer
66,Tayeeglow
67,Somalia
68,Gobolka Shabeellaha Hoose
69,Gobolka Shabeellaha Dhexe
70,Gobolka Sanaag
71,Saacow
72,Qoryooley
73,Qandala
74,Qaloocan
75,Oodweyne
76,Gobolka Nugaal
77,Mogadishu
78,Gobolka Mudug
79,Marka
80,Mahaddayweyne
81,Luuq
82,Lughaye
83,Las Khorey
84,Kismayo
85,Gobolka Jubbada Hoose
86,Gobolka Jubbada Dhexe
87,Jilib
88,Jawhar
89,Jamaame
90,Jalalaqsi
91,Iskushuban
92,Hobyo
93,Gobolka Hiiraan
94,Hargeysa
95,Gobolka Gedo
96,Garoowe
97,Garbahaarrey
98,Gobolka Galguduud
99,Gaalkacyo
100,Eyl
101,El Dubat
102,El Ad
103,Dujuuma
104,Doon
105,Dhuusamarreeb
106,Dalooldho
107,Cheli Gu
108,Ceerigaabo
109,Ceeldheer
110,Ceelbuur
111,Ceek
112,Caluula
113,Cadale
114,Buurhakaba
115,Buur Gaabo
116,Buulobarde
117,Burao
118,Bu’aale
119,Bosaso
120,Bereeda
121,Berbera
122,Beledweyne
123,Behelidle
124,Baidoa
125,Gobolka Bay
126,Gobolka Bari
127,Bargaal
128,Bandarbeyla
129,Gobolka Banaadir
130,Baardheere
131,Afgooye
132,Cadayo
133,Yasuj
134,Shāhrūd
135,‘Abbāsābād-e Qūsheh
136,At Tawilah
137,Zinjibar
138,Zarajah
139,Az Zahir
140,Zabīd
141,Zabid
142,Yufrus
143,Republic of Yemen
144,Yarīm
145,Yarim
146,Washhah
147,Walan
148,Dhi Jalal
149,Usaylan
150,Ubal
151,Thamud
152,Tarim
153,At Ta‘izzīyah
154,Muḩāfaz̧at Ta‘izz
155,Ta‘izz
156,Taizz
157,As Suwayda
158,Al Anan
159,Abs
160,Sif
161,Shuḩayr
162,Shihan as Sufla
163,Shibam
164,Ash Sharyah
165,Sharas
166,Shaharat al Ghis
167,Muḩāfaz̧at Shabwah
168,Sayyan
169,Sayhut
170,Sanhan
171,Sanaa
172,Sana
173,Sanaa
174,Sahar
175,Sah
176,Muḩāfaz̧at Şa‘dah
177,Sadah
178,Rihab
179,Rada
180,Muḩāfaz̧at Raymah
181,Ar Raydah
182,Raydah
183,Rakkat al ‘Askarī
184,Rudum
185,Qulansiyah
186,Qishn
187,Qatabah
188,Nisab
189,Al Musaymir
190,Mukayras
191,Mudiyah
192,Markaz Mudhaykirah
193,Morī
194,Manwakh
195,Mayfaah
196,Maidi
197,Mawza
198,Mawiyah
199,Al Jawl
200,Marib City
201,Muḩāfaz̧at Ma’rib
202,Ma'rib
203,Manakhah
204,Milah
205,Al Malahit
206,Al Mafud
207,Mafhaq
208,Al Madid
209,Mabar
210,Al Maalla
211,Lawdar
212,Lahij
213,Kuhlan Afar
214,Kuaydinah
215,Kitaf
216,Kilmia
217,Khawr Maksar
218,Khawrah
219,Khamir
220,Juban
221,Jihanah
222,Jiblah
223,Jawf al Maqbabah
224,Muḩāfaz̧at al Jawf
225,Jaar
226,Ibb
227,Ibb
228,Huth
229,As Salasil
230,Al Abr
231,Hays
232,Hayfan
233,Hawf
234,Haswayn
235,Harib
236,Harad
237,Hammam Ali
238,Ḩajjah
239,Hajjah
240,Madinat Labus
241,Muḩāfaz̧at Ḩaḑramawt
242,Tamrida
243,Habil al Jabr
244,Al Habilayn
245,Habban
246,Hababah
247,Ghayl Ba Wazir
248,Dhubab
249,Dhi Naim
250,Dhaybin
251,Dhī as Sufāl
252,Dhi as Sufal
253,Madīnat Dhamār
254,Muḩāfaz̧at Dhamār
255,Dhamar
256,Dawran ad Daydah
257,Dar an Nasr
258,Burum
259,Bayt Adhaqah
260,As Suq al Jadid
261,Bayt al Faqīh
262,Bayt al Faqih
263,Bayhan
264,Bani Hujjaj
265,Bani Bakr
266,Bājil
267,Bajil
268,Az Zuhrah
269,Az Zaydiyah
270,Az Zahir
271,Al Hajab
272,Al Awabil
273,At Turbah
274,Al Tuhayta
275,At Tawahi
276,Ataq
277,As Sudah
278,As Sayyani
279,As Sawmaah
280,Al Bilad
281,As Sawadiyah
282,As Salif
283,Said
284,As Safaqayn
285,As Saddah
286,Ash Shaykh Uthman
287,Ash Shatt
288,Ash Shahil
289,Ash Shaghadirah
290,Asdas
291,Marbat
292,Ar Rawdah
293,Ar Rawdah
294,An Nadirah
295,Amran
296,Amd
297,Al Wuday
298,Al Udayn
299,Al Qurh
300,Al Qaryah
